x;n = 10;n = 25;n = 50;n = 100
0,72516;7,96E-08;1,36E-16;6,48E-17;6,48E-17
0,72359;8,49E-08;1,49E-16;6,21E-17;6,21E-17
0,72202;9,06E-08;1,71E-16;5,96E-17;5,96E-17
0,72045;9,66E-08;2,02E-16;6,49E-17;6,49E-17
0,71888;1,03E-07;2,30E-16;6,31E-17;6,31E-17
0,71731;1,10E-07;2,67E-16;6,33E-17;6,33E-17
0,71574;1,17E-07;3,05E-16;6,67E-17;6,67E-17
0,71417;1,24E-07;3,58E-16;7,01E-17;7,01E-17
0,7126;1,32E-07;4,14E-16;7,57E-17;7,57E-17
0,71103;1,41E-07;4,75E-16;6,89E-17;6,89E-17
0,70946;1,50E-07;5,51E-16;6,41E-17;6,41E-17
0,70789;1,59E-07;6,36E-16;6,65E-17;6,65E-17
0,70632;1,69E-07;7,30E-16;6,51E-17;6,51E-17
0,70475;1,80E-07;8,42E-16;6,51E-17;6,51E-17
0,70318;1,91E-07;9,69E-16;6,69E-17;6,69E-17
0,70161;2,03E-07;1,12E-15;7,60E-17;7,60E-17
0,70004;2,16E-07;1,28E-15;7,48E-17;7,48E-17
0,69847;2,29E-07;1,47E-15;6,36E-17;6,36E-17
0,6969;2,43E-07;1,69E-15;6,36E-17;6,36E-17
0,69533;2,57E-07;1,94E-15;6,42E-17;6,42E-17
0,69376;2,73E-07;2,22E-15;6,79E-17;6,79E-17
0,69219;2,89E-07;2,53E-15;6,12E-17;6,12E-17
0,69062;3,07E-07;2,91E-15;7,51E-17;7,51E-17
0,68905;3,25E-07;3,32E-15;6,83E-17;6,83E-17
0,68748;3,44E-07;3,79E-15;7,76E-17;7,76E-17
0,68591;3,65E-07;4,33E-15;7,02E-17;7,02E-17
0,68434;3,86E-07;4,94E-15;6,68E-17;6,68E-17
0,68277;4,09E-07;5,64E-15;6,51E-17;6,51E-17
0,6812;4,32E-07;6,42E-15;6,84E-17;6,84E-17
0,67963;4,57E-07;7,32E-15;6,67E-17;6,67E-17
0,67806;4,84E-07;8,33E-15;6,98E-17;6,98E-17
0,67649;5,11E-07;9,48E-15;6,84E-17;6,84E-17
0,67492;5,40E-07;1,08E-14;7,76E-17;7,76E-17
0,67335;5,71E-07;1,22E-14;7,34E-17;7,34E-17
0,67178;6,03E-07;1,39E-14;7,07E-17;7,07E-17
0,67021;6,37E-07;1,58E-14;7,12E-17;7,12E-17
0,66864;6,73E-07;1,79E-14;7,02E-17;7,02E-17
